OT;Núm. Trabajo;Descripción Trabajo;VIN;Marca;Gama;Año;;Tipo Cargo;Tipo de Trabajo;Cliente Cargo  ;Kms.;F. Entrada;F. Cierre;Dif. F. Alta-F.Cierre;Estado
OTM/52/2017;1;REV......SISTEMA DE CARGA HAY QUE INICIARLO....UNIDAD NUEVA;PFC065348;Hyundai;County;2015;;Cliente;MECANICA;6148;1;21/06/2017;11/07/2017;20;Anulado
OTM/26/2017;1;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;6146;10;9/06/2017;9/06/2017;0;Facturada
OTM/27/2017;1;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;5866;10;9/06/2017;13/06/2017;4;Facturada
OTM/27/2017;2;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;5866;10;9/06/2017;17/07/2017;0;Facturada
OTM/27/2017;3;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;2;10;9/06/2017;17/07/2017;0;Facturada
OTM/27/2017;4;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;2;10;9/06/2017;17/07/2017;0;Facturada
OTM/27/2017;5;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;6146;10;9/06/2017;17/07/2017;0;Facturada
OTM/34/2017;1;PINTURA DE CHASISI;PGC292270;Hyundai;HD65;2016;;Cliente;COLISION;6148;10;16/06/2017;16/06/2017;0;Facturada
OTM/35/2017;1;PINTURA DE CHASIS;PGC292270;Hyundai;HD65;2016;;Cliente;COLISION;6146;10;16/06/2017;16/06/2017;0;Facturada
OTM/36/2017;1;PINTURA DE CHASIS;PGC292269;Hyundai;HD65;2016;;Cliente;COLISION;6148;10;16/06/2017;16/06/2017;0;Facturada
OTM/37/2017;1;PINTURA DE CHASIS;PGC292269;Hyundai;HD65;2016;;Cliente;COLISION;6146;10;16/06/2017;16/06/2017;0;Facturada
OTM/38/2017;1;PINTURA CHASIS;PGC902515;Hyundai;HD78;2016;;Cliente;COLISION;6148;10;16/06/2017;16/06/2017;0;Facturada
OTM/39/2017;1;PINTURA DE CHASIS;PGC902515;Hyundai;HD78;2016;;Cliente;COLISION;6146;10;16/06/2017;16/06/2017;0;Facturada
OTM/40/2017;1;PINTURA DE CHASIS;PGC293644;Hyundai;HD65;2016;;Cliente;COLISION;6148;10;16/06/2017;16/06/2017;0;Facturada
OTM/41/2017;1;PINTURA CHASIS;PGC293644;Hyundai;HD65;2016;;Cliente;COLISION;6146;10;16/06/2017;16/06/2017;0;Facturada
OTM/43/2017;1;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;6148;10;16/06/2017;17/06/2017;1;Facturada
OTM/44/2017;1;PINTURA DE CHASIS;PGC292351;Hyundai;HD78;2016;;Cliente;COLISION;6146;10;17/06/2017;17/06/2017;0;Facturada
OTM/194/2017;1;INSTALAR STOP DERECHO....DON MISCHAEL SUMINISTRA EL REPUESTO;7F6S00081;Hyundai;Accent;2015;;Cliente;COLISION;10205;10;20/11/2017;20/11/2017;0;Facturada
OTM/243/2017;1;TOMAR IMPRONTAS;5F6S00836;Hyundai;Accent;2015;;Cliente;MECANICA;5896;13;26/12/2017;10/01/2018;15;Facturada
OTM/244/2017;1;TOMAR IMPRONTAS;5F6S00841;Hyundai;Accent;2015;;Cliente;MECANICA;5896;13;26/12/2017;10/01/2018;15;Facturada
OTM/245/2017;1;TOMAR IMPRONTAS;5FGS00832;Hyundai;Accent;2015;;Cliente;MECANICA;5896;13;26/12/2017;10/01/2018;15;Facturada
OTM/253/2017;1;TOMAR IMPRONTAS;4F6S00881;Hyundai;Accent;2015;;Cliente;MECANICA;5896;13;27/12/2017;2/01/2018;6;Facturada
OTM/247/2017;1;TOMAR IMPRONTAS;7F6S00843;Hyundai;Accent;2015;;Cliente;MECANICA;5896;14;27/12/2017;10/01/2018;14;Facturada
OTM/249/2017;1;TOMAR IMPRONTAS;5F6S00837;Hyundai;Accent;2015;;Cliente;MECANICA;5896;14;27/12/2017;10/01/2018;14;Facturada
